
==================== AREA: Sociabilidad ====================

--- Manada ---
ID: bbc48d53-f4aa-4de7-84d4-95614df76034 | 13 a 15 años | Respeto las normas de convivencia de los distintos ambientes en que actúo, aunque no siempre esté de acuerdo con ellas.
ID: fc26cfce-9532-4f60-b1e4-2aef8774109c | 11 a 13 años | Sé qué hacen los bomberos, la policía, los hospitales, el municipio y otros servicios públicos de mi comunidad.
ID: 16388e31-ed8c-443f-9881-4dea357f2edd | 11 a 13 años | Trato de realizar una buena acción todos los días.
ID: 9cbecce7-5147-4405-8725-18b15baa8ecd | 11 a 13 años | Conozco las distintas realidades sociales del lugar en que vivo.
ID: 8a38e69e-7013-4ec8-8112-181f68e4224a | 13 a 15 años | Realizo una buena acción cada día.
ID: 5615c6b9-5355-4a4e-a0f9-d6dad0ab0770 | 13 a 15 años | Me gusta participar en actividades que ayudan a superar las diferencias sociales.
ID: 2dc9c7fe-979a-47c8-8008-fd2d11016a18 | 11 a 13 años | Conozco los principales productos propios de la cultura de mi país.
ID: 523939cc-bdbd-433b-bba6-681ba10c4296 | 11 a 13 años | Participo en las actividades de mi patrulla que muestran la cultura de mi país.
ID: 02eb45f3-b00d-41e5-8412-c7a4d962e40d | 13 a 15 años | Aprecio la cultura de mi país y me identifico con ella.
ID: e6f4fb0e-bd0b-4689-a258-524eb5be560a | 13 a 15 años | Propongo en mi patrulla y Tropa actividades que muestren los valores propios de la cultura de nuestro país.
ID: 616f6f67-9b73-411d-91f6-276b25b67db9 | 11 a 13 años | Participo en actividades organizadas por mi Asociación.
ID: b93753b8-f0c9-4c79-808b-34f059c1f020 | 11 a 13 años | Participo en actividades y talleres en que aprendo la importancia de la comprensión internacional y la paz.
ID: cc54a608-36e7-4053-8eb5-a10e66d4f198 | 13 a 15 años | Participo en los contactos que mantiene mi Grupo con guías y scouts de otros países.
ID: 8a999f90-77c6-49a4-bdd3-1567bb8fe50d | 13 a 15 años | Me gusta saber cómo viven las personas en otros países.
ID: 6a42179d-752c-4624-a9db-df85e0116d1b | 11 a 13 años | Ayudo en la limpieza y el mejoramiento de los lugares en que paseo y acampo.
